GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,Total; families with children under 18 ,Percent below poverty level; families with children under 18 
1400000US36047019600,36047019600,196,1175,25.7,799,28.7
1400000US36047019700,36047019700,197,700,7,286,0
1400000US36047019800,36047019800,198,504,9.5,180,26.7
1400000US36047019900,36047019900,199,464,2.2,234,4.3
1400000US36047020000,36047020000,200,569,15.3,308,12.7
1400000US36047020100,36047020100,201,623,3.7,335,2.1
1400000US36047020200,36047020200,202,513,6,238,10.1
1400000US36047020300,36047020300,203,232,15.1,138,16.7
1400000US36047020400,36047020400,204,414,6.3,167,10.2
1400000US36047020500,36047020500,205,501,2,267,0
1400000US36047020600,36047020600,206,613,6.2,267,3.7
1400000US36047020700,36047020700,207,858,1.9,432,3.7
1400000US36047020800,36047020800,208,673,9.1,279,15.8
1400000US36047021000,36047021000,210,1101,16.6,563,24.5
1400000US36047021100,36047021100,211,282,16.7,155,14.8
1400000US36047021200,36047021200,212,1159,27.6,661,30.7
1400000US36047021300,36047021300,213,1082,20.3,563,30.7
1400000US36047021400,36047021400,214,484,28.5,305,38.7
1400000US36047021500,36047021500,215,1170,22.8,579,27.3
1400000US36047021600,36047021600,216,798,32.5,508,47
1400000US36047021700,36047021700,217,652,17,353,21.2
1400000US36047021800,36047021800,218,897,43.9,707,55.7
1400000US36047021900,36047021900,219,783,21.8,288,30.9
1400000US36047022000,36047022000,220,958,35.4,615,44.6
1400000US36047022100,36047022100,221,701,10.8,340,7.1
1400000US36047022200,36047022200,222,864,37,523,54.9
1400000US36047022400,36047022400,224,1045,36.5,692,41.5
1400000US36047022600,36047022600,226,547,15,335,14.9
1400000US36047022700,36047022700,227,608,19.9,262,21.8
1400000US36047022800,36047022800,228,676,24,459,33.1
1400000US36047022900,36047022900,229,820,6,555,8.8
1400000US36047023000,36047023000,230,742,41.4,521,55.1
1400000US36047023100,36047023100,231,525,16,291,22.3
1400000US36047023200,36047023200,232,1285,45.7,893,55.5
1400000US36047023300,36047023300,233,1015,36.1,614,43.5
1400000US36047023400,36047023400,234,1212,39.9,836,47.5
1400000US36047023500,36047023500,235,697,39.9,479,51.1
1400000US36047023600,36047023600,236,1200,39.7,704,54.7
1400000US36047023800,36047023800,238,967,25.5,469,37.5
1400000US36047024000,36047024000,240,930,31.5,510,39.2
1400000US36047024100,36047024100,241,336,20.2,188,36.2
1400000US36047024200,36047024200,242,728,19.1,344,26.2
1400000US36047024300,36047024300,243,788,17.5,392,29.6
1400000US36047024400,36047024400,244,721,22.7,389,28.3
1400000US36047024500,36047024500,245,962,19.2,555,27.6
1400000US36047024600,36047024600,246,833,17,495,22
1400000US36047024700,36047024700,247,368,19.6,199,22.1
1400000US36047024800,36047024800,248,694,21.3,363,30.3
1400000US36047024900,36047024900,249,674,17.1,324,26.5
1400000US36047025000,36047025000,250,391,17.1,161,41.6
1400000US36047025100,36047025100,251,785,29,433,30.5
1400000US36047025200,36047025200,252,1454,10.2,833,5.5
1400000US36047025300,36047025300,253,440,14.1,214,13.1
1400000US36047025400,36047025400,254,915,18.5,485,27.4
1400000US36047025500,36047025500,255,1333,38,774,51
1400000US36047025600,36047025600,256,758,18.2,391,27.9
