GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,All families  with  children under 18 ,Percent below poverty level; All families with children under 18 
1400000US36047034500,36047034500,345,412,12.9,178,22.5
1400000US36047034700,36047034700,347,838,23.5,495,36.8
1400000US36047034800,36047034800,348,619,26,244,37.7
1400000US36047034900,36047034900,349,1542,23.7,912,30.6
1400000US36047035000,36047035000,350,865,9.8,232,6.9
1400000US36047035100,36047035100,351,1112,16.2,632,26.7
1400000US36047035200,36047035200,352,146,41.8,25,100
1400000US36047035300,36047035300,353,1454,32,926,31.1
1400000US36047035400,36047035400,354,1493,8.8,426,7.7
1400000US36047035500,36047035500,355,1233,20.8,831,27.3
1400000US36047035601,36047035601,356.01,892,4.6,329,3.3
1400000US36047035602,36047035602,356.02,1505,3.8,328,4.9
1400000US36047035700,36047035700,357,486,28.6,293,41.6
1400000US36047035900,36047035900,359,1272,36.8,968,44.5
1400000US36047036001,36047036001,360.01,717,28.3,218,26.6
1400000US36047036002,36047036002,360.02,926,20.6,172,11.6
1400000US36047036100,36047036100,361,528,43.9,373,51.2
1400000US36047036200,36047036200,362,717,33.2,462,37.7
1400000US36047036300,36047036300,363,860,30.2,598,34.6
1400000US36047036400,36047036400,364,515,22.5,229,45.4
1400000US36047036501,36047036501,365.01,555,19.3,239,31.8
1400000US36047036502,36047036502,365.02,215,19.5,174,24.1
1400000US36047036600,36047036600,366,848,13.9,376,27.1
1400000US36047036700,36047036700,367,217,12.4,152,17.8
1400000US36047036900,36047036900,369,1147,32.4,837,43.5
1400000US36047037000,36047037000,370,1099,13.5,527,25
1400000US36047037100,36047037100,371,1189,17,600,17.8
1400000US36047037300,36047037300,373,992,37.5,757,42.7
1400000US36047037401,36047037401,374.01,1256,6.5,290,4.8
1400000US36047037402,36047037402,374.02,1109,4.2,200,0
1400000US36047037500,36047037500,375,690,27.8,441,38.5
1400000US36047037700,36047037700,377,765,15.2,370,21.6
1400000US36047037900,36047037900,379,1012,26.5,575,40.3
1400000US36047038100,36047038100,381,1156,28.9,674,28.6
1400000US36047038200,36047038200,382,1453,32.5,744,45.3
1400000US36047038300,36047038300,383,769,10.1,413,18.9
1400000US36047038500,36047038500,385,814,21.3,472,23.7
1400000US36047038600,36047038600,386,739,10.6,355,22
1400000US36047038700,36047038700,387,931,30.5,500,44.8
1400000US36047038800,36047038800,388,814,12.3,364,19
1400000US36047038900,36047038900,389,496,50.8,322,53.4
1400000US36047039000,36047039000,390,541,0,190,0
1400000US36047039100,36047039100,391,515,22.9,374,28.6
1400000US36047039200,36047039200,392,618,9.1,267,12.7
1400000US36047039300,36047039300,393,650,24.6,460,34.8
1400000US36047039400,36047039400,394,679,4,217,0
1400000US36047039500,36047039500,395,681,38.3,434,54.8
1400000US36047039600,36047039600,396,402,7,175,11.4
1400000US36047039700,36047039700,397,652,23.3,420,36.2
1400000US36047039800,36047039800,398,629,11.9,223,28.7
1400000US36047039900,36047039900,399,885,30.1,603,38.1
1400000US36047040000,36047040000,400,774,9.4,250,10.4
1400000US36047040100,36047040100,401,783,39.8,537,40.4
1400000US36047040200,36047040200,402,641,11.2,326,19.9
1400000US36047040300,36047040300,403,745,36,456,41.9
1400000US36047040400,36047040400,404,618,12.6,297,9.8
1400000US36047040500,36047040500,405,401,12.2,217,22.6
1400000US36047040600,36047040600,406,801,13.4,464,7.3
1400000US36047040700,36047040700,407,0,0,0,0
1400000US36047040800,36047040800,408,796,16.3,386,29
1400000US36047040900,36047040900,409,841,18.9,438,34
1400000US36047041000,36047041000,410,504,12.3,96,0
1400000US36047041100,36047041100,411,709,37.9,413,47
1400000US36047041200,36047041200,412,707,13.9,318,20.8
1400000US36047041300,36047041300,413,743,19.2,540,23.1
1400000US36047041401,36047041401,414.01,335,9.6,136,16.9
1400000US36047041402,36047041402,414.02,385,1.8,152,0
1400000US36047041500,36047041500,415,861,29.4,536,45.7
1400000US36047041600,36047041600,416,555,14.2,322,23
1400000US36047041700,36047041700,417,819,26.5,539,28
1400000US36047041800,36047041800,418,399,31.3,167,55.7
1400000US36047041900,36047041900,419,791,28.1,550,38.5
1400000US36047042000,36047042000,420,429,24.7,235,45.1
1400000US36047042100,36047042100,421,765,15,474,17.9
1400000US36047042200,36047042200,422,783,14.7,335,22.4
1400000US36047042300,36047042300,423,720,33.1,373,35.9
1400000US36047042400,36047042400,424,875,10.5,411,17.8
1400000US36047042500,36047042500,425,523,12.2,309,17.8
1400000US36047042600,36047042600,426,942,18.9,495,25.9
1400000US36047042700,36047042700,427,1202,29,861,37.5
1400000US36047042800,36047042800,428,946,14.5,466,17
1400000US36047042900,36047042900,429,1358,39.5,905,45.5
